,count,x_col,y_row,x_min,y_min,x_max,y_max
96,48,94,90,0.33635200887304656,0.32203915743164035,0.33993022173339815,0.3256173702919919
97,32,222,97,0.7943632549980462,0.3470866474541013,0.7979414678583977,0.3506648603144528
98,38,176,55,0.6297654634218744,0.19680170731933577,0.633343676282226,0.20037992017968734
99,52,48,43,0.17175421729687484,0.15386315299511705,0.1753324301572264,0.1574413658554686
100,39,55,70,0.19680170731933577,0.25047490022460916,0.20037992017968734,0.2540531130849607
101,62,93,62,0.332773796012695,0.22184919734179667,0.33635200887304656,0.22542741020214824
102,37,106,34,0.3792905631972653,0.12165923725195302,0.3828687760576169,0.12523745011230458
103,60,96,60,0.3435084345937497,0.21469277162109357,0.3470866474541013,0.21827098448144513
104,60,92,58,0.3291955831523435,0.20753634590039044,0.332773796012695,0.211114558760742
105,36,136,71,0.48663694900781207,0.2540531130849607,0.49021516186816366,0.2576313259453123
106,43,54,29,0.1932234944589842,0.10376817295019522,0.19680170731933577,0.10734638581054678
107,37,102,112,0.3649777117558591,0.4007598403593747,0.3685559246162106,0.4043380532197262
108,55,202,75,0.722798997791015,0.26836596452636696,0.7263772106513665,0.2719441773867185
109,43,20,27,0.07156425720703119,0.0966117472294921,0.07514247006738274,0.10018996008984367
110,40,216,39,0.7728939778359368,0.13955030155371081,0.7764721906962884,0.14312851441406238
111,33,107,29,0.3828687760576169,0.10376817295019522,0.3864469889179684,0.10734638581054678
112,37,132,110,0.47232409756640586,0.39360341463867154,0.4759023104267574,0.3971816274990231
113,50,67,51,0.23974026164355447,0.18248885587792954,0.24331847450390603,0.18606706873828108
114,33,185,102,0.6619693791650385,0.3649777117558591,0.66554759202539,0.3685559246162106
115,23,8,96,0.028625702882812475,0.3435084345937497,0.03220391574316404,0.3470866474541013
116,5,19,6,0.06798604434667962,0.021469277162109356,0.07156425720703119,0.025047490022460917
117,25,214,112,0.7657375521152338,0.4007598403593747,0.7693157649755853,0.4043380532197262
118,38,41,71,0.14670672727441395,0.2540531130849607,0.15028494013476548,0.2576313259453123
119,51,78,55,0.27910060310742163,0.19680170731933577,0.28267881596777317,0.20037992017968734
120,52,30,47,0.10734638581054678,0.16817600443652328,0.11092459867089834,0.17175421729687484
121,32,59,111,0.211114558760742,0.3971816274990231,0.21469277162109357,0.4007598403593747
122,42,86,26,0.3077263059902341,0.09303353436914054,0.3113045188505857,0.0966117472294921
123,65,41,37,0.14670672727441395,0.13239387583300768,0.15028494013476548,0.13597208869335925
124,40,220,25,0.7872068292773431,0.08945532150878899,0.7907850421376946,0.09303353436914054
125,53,65,43,0.23258383592285137,0.15386315299511705,0.23616204878320293,0.1574413658554686
126,28,194,9,0.6941732949082026,0.03220391574316404,0.6977515077685541,0.035782128603515595
127,28,70,31,0.25047490022460916,0.11092459867089834,0.2540531130849607,0.1145028115312499
128,36,43,74,0.15386315299511705,0.26478775166601537,0.1574413658554686,0.26836596452636696
129,63,202,78,0.722798997791015,0.27910060310742163,0.7263772106513665,0.28267881596777317
130,27,129,103,0.46158945898535114,0.3685559246162106,0.46516767184570273,0.37213413747656215
131,31,90,28,0.32203915743164035,0.10018996008984367,0.3256173702919919,0.10376817295019522
132,21,131,117,0.46874588470605427,0.4186509046611325,0.47232409756640586,0.422229117521484
133,26,38,115,0.13597208869335925,0.41149447894042934,0.13955030155371081,0.4150726918007809
134,38,88,86,0.3148827317109372,0.3077263059902341,0.31846094457128876,0.3113045188505857
135,49,77,45,0.2755223902470701,0.16101957871582018,0.27910060310742163,0.16459779157617174
136,48,153,49,0.5474665676337885,0.1753324301572264,0.5510447804941402,0.17891064301757797
137,38,101,44,0.3613994988955075,0.1574413658554686,0.3649777117558591,0.16101957871582018
138,38,83,63,0.2969916674091794,0.22542741020214824,0.30056988026953096,0.2290056230624998
139,33,165,56,0.5904051219580073,0.20037992017968734,0.5939833348183589,0.20395813304003887
140,69,28,35,0.10018996008984367,0.12523745011230458,0.10376817295019522,0.12881566297265615
141,58,194,49,0.6941732949082026,0.1753324301572264,0.6977515077685541,0.17891064301757797
142,59,64,81,0.2290056230624998,0.2898352416884763,0.23258383592285137,0.2934134545488279
143,11,166,123,0.5939833348183589,0.4401201818232418,0.5975615476787104,0.44369839468359334
144,28,43,116,0.15386315299511705,0.4150726918007809,0.1574413658554686,0.4186509046611325
145,60,120,33,0.42938554324218714,0.11808102439160147,0.4329637561025387,0.12165923725195302
146,48,77,47,0.2755223902470701,0.16817600443652328,0.27910060310742163,0.17175421729687484
147,22,248,40,0.8873967893671867,0.14312851441406238,0.8909750022275383,0.14670672727441395
148,49,50,38,0.17891064301757797,0.13597208869335925,0.18248885587792954,0.13955030155371081
149,31,10,74,0.035782128603515595,0.26478775166601537,0.03936034146386715,0.26836596452636696
150,41,180,37,0.6440783148632807,0.13239387583300768,0.6476565277236322,0.13597208869335925
151,56,109,69,0.39002520177831995,0.2468966873642576,0.39360341463867154,0.25047490022460916
152,27,178,37,0.6369218891425775,0.13239387583300768,0.6405001020029292,0.13597208869335925
153,48,46,86,0.16459779157617174,0.3077263059902341,0.16817600443652328,0.3113045188505857
154,53,24,51,0.08587710864843742,0.18248885587792954,0.08945532150878899,0.18606706873828108
155,57,213,83,0.7621593392548821,0.2969916674091794,0.7657375521152338,0.30056988026953096
156,31,5,78,0.017891064301757797,0.27910060310742163,0.021469277162109356,0.28267881596777317
157,34,173,103,0.6190308248408197,0.3685559246162106,0.6226090377011714,0.37213413747656215
158,54,32,66,0.1145028115312499,0.23616204878320293,0.11808102439160147,0.23974026164355447
159,26,130,51,0.46516767184570273,0.18248885587792954,0.46874588470605427,0.18606706873828108
160,39,190,99,0.6798604434667963,0.35424307317480436,0.6834386563271478,0.35782128603515595
